"SYMBOL","Log2FoldChange","Padj","change"
"TEAD3",0.629105036232223,4.65832923346636e-12,"NOT"
"SELE",-2.99759719870348,7.96721556133405e-23,"DOWN"
"DNAJC11",0.451836258397187,5.71901505458844e-11,"NOT"
"FMO3",0.173791623703413,0.622574331441834,"NOT"
"MYLIP",-0.488123642287764,0.000343684098657775,"NOT"
"NOX1",0.690260715291073,5.35867753036388e-06,"NOT"
"E2F2",2.91489400588083,2.71071672611994e-121,"UP"
"PSMB1",0.651624049472977,8.85363997698761e-13,"NOT"
"SYN1",0.191769162057473,0.351689880534554,"NOT"
"JARID2",1.23998953621339,1.20986518323329e-37,"UP"
"CDKL5",-1.39482522271463,5.33698873484824e-33,"DOWN"
"CAMK1G",-0.56557253479916,0.000928642472691857,"NOT"
"CDK11A",0.240175511460928,0.0632114036610005,"NOT"
"NADK",-0.0716913996356216,0.362321009524904,"NOT"
"TFAP2B",3.48125948600833,2.83201565991516e-17,"UP"
"TFAP2D",5.35900263785942,4.33314537005034e-13,"UP"
"DLEC1",-0.706204482824027,0.0408394142092257,"NOT"
"CYTH3",-0.796486381786251,1.38803267161421e-16,"NOT"
"ADAM22",-0.173850594948435,0.492775392460174,"NOT"
"SYPL1",0.634842557137936,7.40036127654567e-09,"NOT"
"CYB561",-0.09345764487769,0.289653269877117,"NOT"
"SPAG9",-0.512645982399902,2.71379237252997e-12,"NOT"
"CELSR3",2.2853738287285,1.23429199927832e-36,"UP"
"AASS",-0.336599691725642,0.0525655274408477,"NOT"
"PLEKHG6",2.84347002313513,1.36182698896813e-74,"UP"
"SS18L2",0.264230770114444,0.00189739725540171,"NOT"
"MPND",-0.213138454496753,0.0157766673199062,"NOT"
"MGST1",0.189250750409921,0.412491989526351,"NOT"
"CRY1",-0.76444769744944,2.39025533498222e-21,"NOT"
"PGLYRP1",-2.84247905140285,8.02183640313513e-42,"DOWN"
"NFIX",-1.42372820223968,1.34214504825728e-24,"DOWN"
"ST3GAL1",-0.438602581145748,0.00493512795596333,"NOT"
"MMP25",-1.41194103762588,2.27861980363167e-17,"DOWN"
"IL32",-0.896435908490626,2.11125227116039e-06,"NOT"
"PKD1",-0.372583376673136,0.00170120123892186,"NOT"
"MAPK8IP2",2.09619751943122,1.88325082477967e-21,"UP"
"MED24",-0.296467221727099,0.00142061494037113,"NOT"
